"id","name","created_at","updated_at"
1,Umum,"2025-06-21 15:55:12","2025-06-21 15:55:12"
2,Sekolah Minggu,"2025-06-21 15:55:12","2025-06-21 15:55:12"
3,Pemuda,"2025-06-21 15:55:12","2025-06-21 15:55:12"
4,Wanita,"2025-06-21 15:55:12","2025-06-21 15:55:12"
5,Lansia,"2025-06-21 15:55:12","2025-06-21 15:55:12"
6,Remaja,"2025-06-21 15:55:12","2025-06-21 15:55:12"
